tweet_id,favorites,retweets,user_followers,user_favourites,date_time
779124354206535695,0,17034,9285536,146719,2016-09-23 01:04:56+00:00
779056095788752897,13905,4212,9285536,146719,2016-09-22 20:33:42+00:00
778990705243029504,18755,6657,9285536,146719,2016-09-22 16:13:51+00:00
778774459159379968,0,9161,9285536,146719,2016-09-22 01:54:34+00:00
778764940568104960,820,338,9285536,146719,2016-09-22 01:16:45+00:00
778748913645780993,6463,1207,9285536,146719,2016-09-22 00:13:04+00:00
778650543019483137,5428,1391,9285536,146719,2016-09-21 17:42:10+00:00
778624900596654080,4342,943,9285536,146719,2016-09-21 16:00:17+00:00
778408200802557953,12872,4009,9285536,146719,2016-09-21 01:39:11+00:00
778396591732486144,0,11345,9285536,146719,2016-09-21 00:53:04+00:00
778383385161035776,5507,1019,9285536,146719,2016-09-21 00:00:35+00:00
778286810187399168,9745,3064,9285536,146719,2016-09-20 17:36:50+00:00
778039087836069888,7995,2466,9285536,146719,2016-09-20 01:12:28+00:00
778027034220126208,6200,1493,9285536,146719,2016-09-20 00:24:34+00:00
777953400541634568,0,3269,9285536,146719,2016-09-19 19:31:59+00:00
777885040357281792,5998,1515,9285536,146719,2016-09-19 15:00:20+00:00
777684233540206592,10623,2727,9285536,146719,2016-09-19 01:42:24+00:00
777641927919427584,0,3922,9285536,146719,2016-09-18 22:54:18+00:00
777621514455814149,8221,2341,9285536,146719,2016-09-18 21:33:11+00:00
777189768882946048,13320,3985,9285536,146719,2016-09-17 16:57:35+00:00
776819012571455488,0,12608,9285536,146719,2016-09-16 16:24:19+00:00
776813020089548800,4605,1114,9285536,146719,2016-09-16 16:00:31+00:00
776477788987613185,8253,2561,9285536,146719,2016-09-15 17:48:25+00:00
776249906839351296,0,8464,9285536,146719,2016-09-15 02:42:54+00:00
776218204058357768,28114,14740,9285537,146719,2016-09-15 00:36:55+00:00
776201521193218049,9029,2335,9285537,146719,2016-09-14 23:30:38+00:00
776113305656188928,11122,4025,9285537,146719,2016-09-14 17:40:06+00:00
776088319444877312,1714,141,9285537,146719,2016-09-14 16:00:49+00:00
775898661951791106,0,15542,9285537,146719,2016-09-14 03:27:11+00:00
775842724423557120,11043,2466,9285537,146719,2016-09-13 23:44:54+00:00
775733305207554048,13085,3699,9285537,146719,2016-09-13 16:30:07+00:00
775729183532220416,12272,4281,9285537,146719,2016-09-13 16:13:44+00:00
775364825476165632,6951,2713,9285537,146719,2016-09-12 16:05:54+00:00
775350846108426240,9585,3628,9285537,146719,2016-09-12 15:10:21+00:00
775085132600442880,14632,4374,9285537,146719,2016-09-11 21:34:30+00:00
774757898236878852,8140,1656,9285537,146719,2016-09-10 23:54:11+00:00
774639387460112384,6368,1615,9285537,146719,2016-09-10 16:03:16+00:00
774314403806253056,20549,5092,9285537,146719,2016-09-09 18:31:54+00:00
773985732834758656,10166,3587,9285537,146719,2016-09-08 20:45:53+00:00
773922284943896577,6062,1629,9285537,146719,2016-09-08 16:33:46+00:00
773704687002451968,6239,1498,9285537,146719,2016-09-08 02:09:06+00:00
773670353721753600,5056,1225,9285537,146719,2016-09-07 23:52:41+00:00
773547596996571136,20830,5698,9285537,146719,2016-09-07 15:44:53+00:00
773336787167145985,0,4674,9285538,146719,2016-09-07 01:47:12+00:00
773308824254029826,21991,6953,9285538,146719,2016-09-06 23:56:05+00:00
773247561583001600,8888,3004,9285538,146719,2016-09-06 19:52:39+00:00
773191612633579521,9399,3806,9285538,146719,2016-09-06 16:10:20+00:00
772877495989305348,8052,3580,9285538,146719,2016-09-05 19:22:09+00:00
772826264096874500,7569,2210,9285538,146719,2016-09-05 15:58:34+00:00
772615324260794368,0,3118,9285538,146719,2016-09-05 02:00:22+00:00
772581559778025472,6114,1588,9285538,146719,2016-09-04 23:46:12+00:00
772193107915964416,5680,1291,9285538,146719,2016-09-03 22:02:38+00:00
772152991789019136,3590,1054,9285538,146719,2016-09-03 19:23:13+00:00
772117678702071809,3554,687,9285538,146719,2016-09-03 17:02:54+00:00
772114945936949249,2583,439,9285538,146719,2016-09-03 16:52:02+00:00
772102971039580160,3775,866,9285538,146719,2016-09-03 16:04:27+00:00
771908950375665664,6189,1757,9285538,146719,2016-09-03 03:13:29+00:00
771770456517009408,11294,3142,9285538,146719,2016-09-02 18:03:10+00:00
771500966810099713,7777,2421,9285538,146719,2016-09-02 00:12:18+00:00
771380798096281600,9919,4674,9285538,146719,2016-09-01 16:14:48+00:00
771171053431250945,0,6895,9285538,146719,2016-09-01 02:21:21+00:00
771136648247640064,8614,2710,9285538,146719,2016-09-01 00:04:38+00:00
771102124360998913,5867,1335,9285538,146719,2016-08-31 21:47:27+00:00
771014301343748096,6485,1539,9285538,146719,2016-08-31 15:58:28+00:00
770787852854652928,4621,1104,9285538,146719,2016-08-31 00:58:39+00:00
770772759874076672,4889,1326,9285538,146719,2016-08-30 23:58:40+00:00
770655142660169732,6929,1668,9285538,146719,2016-08-30 16:11:18+00:00
770414278348247044,5945,1927,9285538,146719,2016-08-30 00:14:12+00:00
770293558247038976,5855,1355,9285538,146719,2016-08-29 16:14:30+00:00
770093767776997377,0,2818,9285538,146719,2016-08-29 03:00:36+00:00
770069151037685760,7147,2126,9285538,146719,2016-08-29 01:22:47+00:00
769940425801170949,29307,8838,9285538,146719,2016-08-28 16:51:16+00:00
769695466921623552,6048,1564,9285538,146719,2016-08-28 00:37:54+00:00
769335591808995329,0,7130,9285538,146719,2016-08-27 00:47:53+00:00
769212283578875904,5085,1600,9285538,146719,2016-08-26 16:37:54+00:00
768970937022709760,13412,6002,9285538,146719,2016-08-26 00:38:52+00:00
768909767477751808,0,2443,9285538,146719,2016-08-25 20:35:48+00:00
768855141948723200,3936,827,9285538,146719,2016-08-25 16:58:45+00:00
768609597686943744,3861,1099,9285538,146719,2016-08-25 00:43:02+00:00
768596291618299904,4736,1188,9285538,146719,2016-08-24 23:50:10+00:00
768554158521745409,0,5387,9285538,146719,2016-08-24 21:02:45+00:00
768473857036525572,12779,3161,9285538,146719,2016-08-24 15:43:39+00:00
